,id,first_name,last_name,address,address2,city,state,zip,classification,salary,commission,hourly,password,access,phone_number,department
0,20-1635369,Tad,Insko,8701 Delaware Road,,Phoenix,Arizona,85015,1,145255.33,31.0,18.03,None,3,,
0,83-0529487,Karim,Bourhill,77 Pond Point,,Peoria,Illinois,61656,1,108492.11,27.0,44.41,None,3,,
0,34-6810393,Rodd,Knightsbridge,715 Hauk Park,,Newark,Delaware,19714,2,65966.77,23.0,23.63,None,3,,
0,37-3055508,Andrei,Fenners,717 Bonner Terrace,,Whittier,California,90610,1,48859.73,41.0,89.14,None,3,,
0,75-4213681,Allyn,Rome,128 Graceland Junction,,Little Rock,Arkansas,72231,3,116006.77,20.0,50.9,None,3,,
0,81-1945870,Bobine,Boynes,1542 Mcbride Street,,Reno,Nevada,89595,3,82590.22,44.0,25.85,None,3,,
0,72-4004697,Lorettalorna,Duchart,35 Porter Park,,Newton,Massachusetts,2162,3,38873.42,33.0,70.28,None,3,,
0,02-7468211,Janifer,McGebenay,66705 Ryan Terrace,,Raleigh,North Carolina,27658,2,90092.65,34.0,82.24,None,3,,
0,37-2125179,Edik,Halburton,3 Ronald Regan Park,,Newport Beach,California,92662,3,41487.7,45.0,37.29,None,3,,
0,10-1307727,Norina,Ruecastle,7 Sachs Place,,Kansas City,Missouri,64136,2,149287.81,43.0,94.47,None,3,,
0,68-8031187,Joey,Skillern,67264 4th Way,,Dallas,Texas,75205,3,84359.6,26.0,43.08,None,3,,
0,87-7995602,Kirsti,Cornwell,45 Nova Court,,Seattle,Washington,98185,1,132384.62,44.0,19.51,None,3,,
0,96-7270096,Clarke,Lilliman,4201 Lakewood Trail,,Rockford,Illinois,61105,2,60977.77,50.0,65.25,None,3,,
0,64-1857388,Agathe,Graham,7 Huxley Alley,,Chattanooga,Tennessee,37450,1,55781.78,26.0,80.59,None,2,,
0,50-9589604,Burnaby,Franklyn,65 Dahle Terrace,,Arlington,Texas,76004,1,141769.79,47.0,17.46,None,3,,
0,63-7336700,Thorpe,Chateau,3633 Holmberg Way,,Hollywood,Florida,33028,3,115273.25,37.0,37.3,None,3,,
0,19-9372214,Farlee,McCuis,7240 Mitchell Place,,Amarillo,Texas,79171,1,96774.44,37.0,68.48,None,3,,
0,89-7922101,Arlyn,Bowley,07348 Dahle Plaza,,Philadelphia,Pennsylvania,19172,2,39189.76,27.0,81.55,None,3,,
0,36-5620019,Bondy,Gullis,93621 Hazelcrest Center,,Annapolis,Maryland,21405,3,85342.5,49.0,62.79,None,3,,
0,92-9969043,Davon,Casillas,08 Prairieview Pass,,San Jose,California,95194,2,83999.52,22.0,19.83,None,3,,
0,47-2945377,Nadeen,Ogelsby,8 Judy Lane,,Flint,Michigan,48555,3,36960.16,35.0,51.17,None,3,,
0,56-1715158,Hulda,Birchill,25857 Hanover Avenue,,Sparks,Nevada,89436,1,130781.66,47.0,48.26,None,3,,
0,10-1246695,Devonne,Pigot,84368 Red Cloud Drive,,Grand Rapids,Michigan,49510,3,80056.96,24.0,37.13,None,3,,
0,52-1313427,Hortensia,Senecaux,8 Ramsey Pass,,Miami,Florida,33153,2,116367.58,31.0,16.58,None,3,,
0,38-9220881,Euell,Vosse,18 Farwell Trail,,Maple Plain,Minnesota,55579,3,130877.92,46.0,41.23,None,3,,
0,59-6837247,Olav,Elphey,7 Northridge Point,,Sacramento,California,95852,1,73081.42,34.0,63.0,None,3,,
0,27-0365206,Amata,Ferreo,8802 Blaine Drive,,Kent,Washington,98042,3,53134.81,26.0,87.74,None,3,,
0,04-3473919,Esmaria,Dubery,1939 Eggendart Lane,,Saint Petersburg,Florida,33710,3,90870.5,45.0,25.4,None,3,,
0,71-2790118,Gustaf,Bearsmore,631 Harper Avenue,,Little Rock,Arkansas,72231,2,93415.59,39.0,17.37,None,3,,
0,84-5754515,Lynnea,Allston,045 Bashford Center,,Austin,Texas,78737,1,29849.81,50.0,60.73,None,3,,
0,98-3318019,Holly-anne,Mullineux,3 Vahlen Avenue,,Buffalo,New York,14269,3,146965.54,41.0,28.9,None,3,,
0,00-2001443,Haskell,Sanches,21467 Esch Lane,,Las Vegas,Nevada,89145,1,119937.39,29.0,16.79,None,3,,
0,63-2380694,Amargo,Minillo,5230 Dixon Trail,,Seattle,Washington,98127,3,78532.4,47.0,56.2,None,3,,
0,92-4506503,Kelbee,Dowears,973 Heffernan Drive,,Portland,Oregon,97211,2,64876.5,45.0,68.51,None,3,,
0,97-0855200,Marylinda,Cicero,0 Bunker Hill Hill,,Madison,Wisconsin,53785,2,32451.8,44.0,43.52,None,1,,
0,05-8195323,Leila,Leavesley,22 Waubesa Circle,,Albuquerque,New Mexico,87121,3,38640.29,48.0,15.87,None,3,,
0,35-5685721,Hamlin,Cisson,868 Mesta Terrace,,Apache Junction,Arizona,85219,3,120076.39,37.0,94.44,None,3,,
0,85-6235634,Jsandye,Dabbs,2788 Vahlen Junction,,College Station,Texas,77844,3,106238.66,45.0,20.53,None,3,,
0,04-0735990,Zack,Hughs,92 Continental Lane,,Dayton,Ohio,45490,3,25325.81,25.0,56.48,None,3,,
0,88-7647386,Clive,Weatherill,86 Magdeline Lane,,Virginia Beach,Virginia,23454,2,107082.08,47.0,79.79,None,3,,
0,94-1649988,Faulkner,Widdison,8 Shoshone Hill,,Baltimore,Maryland,21290,1,88391.61,25.0,26.24,None,3,,
0,18-7481598,Farley,Schapiro,93 North Parkway,,Washington,District of Columbia,20022,3,155640.96,21.0,65.64,None,3,,
0,97-5480108,Sandi,Spilsburie,78030 Burning Wood Way,,Seattle,Washington,98148,1,100539.35,31.0,13.83,None,3,,
0,00-3751184,Marven,Chalmers,55 Ridgeview Plaza,,Laurel,Maryland,20709,2,115183.91,31.0,97.46,None,3,,
0,50-5110195,Olive,Aimson,8 Waubesa Circle,,Long Beach,California,90805,2,159780.48,30.0,48.68,None,3,,
0,22-7806066,Jorrie,Oaker,5525 Main Way,,Los Angeles,California,90015,3,79409.97,30.0,66.86,None,3,,
0,59-2638523,Moyra,Aslen,5143 Coleman Lane,,Canton,Ohio,44720,3,51543.62,49.0,57.57,None,3,,
0,04-7726380,Lemmie,Clewes,318 Union Street,,Saint Paul,Minnesota,55166,3,138632.12,24.0,39.24,None,3,,
0,69-3382564,Christye,Brimicombe,572 Blue Bill Park Way,,East Saint Louis,Illinois,62205,1,87502.9,27.0,19.95,None,3,,
0,07-2336423,Bengt,O'Gavin,33684 Sugar Pass,,Tulsa,Oklahoma,74141,1,50576.1,47.0,89.46,None,3,,
0,07-8311644,Kit,Bulstrode,0772 Meadow Vale Park,,Los Angeles,California,90071,1,117990.64,44.0,20.1,None,3,,
0,77-0583822,Justinian,Paulazzi,6709 Graceland Drive,,New York City,New York,10160,2,135920.95,43.0,52.93,None,3,,
0,65-1939987,Willie,Floris,894 Glendale Plaza,,Worcester,Massachusetts,1610,2,62862.15,46.0,16.85,None,3,,
